nama_hotel,alamat_hotel,jumlah_kamar
Cempaka Hotel,"<span itemprop=""address"">Jl. Taman Siswa No.75, DI Yogyakarta</span>",18
Madina Inn,"<span itemprop=""address"">Jl. Tamansiswa No. 56, Wirogunan, Mergangsan, Yogyakarta, Indonesia</span>",4
RedDoorz @ Plemburan Jakal 2,"<span itemprop=""address"">Jl. Kayen Raya, Kayen, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta</span>",5
Hotel Orlen,"<span itemprop=""address"">Jl. C. Simanjuntak, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223</span>",3
Griya Limasan Hotel,"<span itemprop=""address"">Jl. Kecubung, Wonosari, Kab. Gunung Kidul, Yogyakarta, Indonesia</span>",11
Penginapan Barokah,"<span itemprop=""address"">Pantai Kukup, Jl. Pantai Selatan Jawa, Dusun Ngepung, Kemadang</span>",31
RedDoorz Syariah near Galeria Mall Yogyakarta,"<span itemprop=""address"">Resonegaran GK V/1347 RT.56 RW.12 Terban Gondokusuman Yogyakarta</span>",8
SM Exclusive,"<span itemprop=""address"">Jl. Anggajaya 2 No.110 A, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia</span>",2
RedDoorz Syariah @ Lempuyangan,"<span itemprop=""address"">Jl. Tunjung Baru No.1Baciro, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta</span>",6
RedDoorz Plus @ Hotel Star 88,"<span itemprop=""address"">Jl. Tatabumi 3A Godean Km. 4, Sleman, Yogyakarta, Indonesia</span>",21
RedDoorz @ Prawirotaman,"<span itemprop=""address"">Jl. Prawirotaman 1 No. 10, Prawirotaman, Mergangsan, Yogyakarta, Indonesia</span>",13
Akur Hotel Malioboro,"<span itemprop=""address"">Jl. Mataram No. 8, Suryatmajan, Danurejan, Yogyakarta, Indonesia</span>",9
RedDoorz Plus @ Pogung Raya,"<span itemprop=""address"">Jl. Pogung Raya, Pastika Pogung Raya Residence No. E5 Pogung, Yogyakarta, Indonesia</span>",10
Hotel di Jogja,,1
RedDoorz Syariah @ Babadan Baru Jakal,"<span itemprop=""address"">Gg. Anggrek II No. 15A Babadanbaru, Kentungan, Condongcatur, Depok, Sleman, Yogyakarta, Indonesia</span>",24
RedDoorz Syariah @ Wisma Arya 2,"<span itemprop=""address"">Jl. Sukun No.37Jaranan, Banguntapan, Kec. Banguntapan, Bantul, Daerah Istimewa Yogyakarta</span>",11
RedDoorz Syariah Near Wijilan 2 Yogyakarta,"<span itemprop=""address"">Dipowinatan MG I/332 RT 011/RW 003 Yogyakarta, Keparakan, Mergangsan, Yogyakarta City, DI Yogyakarta</span>",9
RedDoorz near Malioboro Mall 2,"<span itemprop=""address"">Jl. Mataram No.41, Suryatmajan, Danurejan, Kota Yogyakarta</span>",5
RedDoorz @ Jalan Ringroad Selatan,"<span itemprop=""address"">Jl. Ring Road Selatan No.224, Panggungharjo, Sewon, Bantul, Yogyakarta, Indonesia</span>",9
RedDoorz Plus @ Affandi Gejayan,"<span itemprop=""address"">Jl. Affandi Gang Menur 6 RT 01 RW 01 Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Gejayan, Yogyakarta, Indonesia</span>",7
RedDoorz near Ambarukmo Yogyakarta 2,"<span itemprop=""address"">Jl. Sorowajan Baru No.2, Banguntapan, DI Yogyakarta, Indonesia</span>",9
Premier Exclusive,"<span itemprop=""address"">Perum Gedong Kuning Asri No. 4, Rejowinangun, Kota Gede, Yogyakarta, Indonesia</span>",2
Khresna Guest House Malioboro,"<span itemprop=""address"">Located in Istana Batik Ratna Hotel, Jl. Pasar Kembang No. 29, Sosromenduran, Gedong Tengen, Yogyakarta 55271, Indonesia</span>",5
